Station;Date;Annee;Cle;Mois;Jour;Saison;Partenaire;Province;Bassin
QU02OD3004;2019-08-27T00:00:00Z;2019;QU02OD3004_2019-08-27 00:00:00;8;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-09-03T00:00:00Z;2019;QU02OD3004_2019-09-03 00:00:00;9;3;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-09-10T00:00:00Z;2019;QU02OD3004_2019-09-10 00:00:00;9;10;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2019-09-17T00:00:00Z;2019;QU02OD3004_2019-09-17 00:00:00;9;17;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-05-08T10:55:00Z;2017;QU02OF3004_2017-05-08 10:55:00;5;8;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-05-15T10:30:00Z;2017;QU02OF3004_2017-05-15 10:30:00;5;15;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-05-25T10:40:00Z;2017;QU02OF3004_2017-05-25 10:40:00;5;25;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-05-30T10:20:00Z;2017;QU02OF3004_2017-05-30 10:20:00;5;30;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-06-05T09:40:00Z;2017;QU02OF3004_2017-06-05 09:40:00;6;5;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-06-12T10:35:00Z;2017;QU02OF3004_2017-06-12 10:35:00;6;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-06-19T10:15:00Z;2017;QU02OF3004_2017-06-19 10:15:00;6;19;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-06-27T10:20:00Z;2017;QU02OF3004_2017-06-27 10:20:00;6;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-07-04T10:40:00Z;2017;QU02OF3004_2017-07-04 10:40:00;7;4;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-07-12T10:25:00Z;2017;QU02OF3004_2017-07-12 10:25:00;7;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-07-20T10:40:00Z;2017;QU02OF3004_2017-07-20 10:40:00;7;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-07-25T10:40:00Z;2017;QU02OF3004_2017-07-25 10:40:00;7;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-08-03T10:25:00Z;2017;QU02OF3004_2017-08-03 10:25:00;8;3;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-08-10T10:25:00Z;2017;QU02OF3004_2017-08-10 10:25:00;8;10;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-08-14T10:15:00Z;2017;QU02OF3004_2017-08-14 10:15:00;8;14;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-08-21T10:20:00Z;2017;QU02OF3004_2017-08-21 10:20:00;8;21;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2017-08-30T09:15:00Z;2017;QU02OF3004_2017-08-30 09:15:00;8;30;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-05-16T10:25:00Z;2018;QU02OF3004_2018-05-16 10:25:00;5;16;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-05-24T11:20:00Z;2018;QU02OF3004_2018-05-24 11:20:00;5;24;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-05-31T10:25:00Z;2018;QU02OF3004_2018-05-31 10:25:00;5;31;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-06-07T09:55:00Z;2018;QU02OF3004_2018-06-07 09:55:00;6;7;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-06-12T10:05:00Z;2018;QU02OF3004_2018-06-12 10:05:00;6;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-06-20T11:05:00Z;2018;QU02OF3004_2018-06-20 11:05:00;6;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-06-27T11:15:00Z;2018;QU02OF3004_2018-06-27 11:15:00;6;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-07-05T10:45:00Z;2018;QU02OF3004_2018-07-05 10:45:00;7;5;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
